Race of Victims (Multiple races including white);State;Race;Execution Volunteer;Foreign National;Region;Sex;Table Name
White;Utah;White;Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Nevada;White;Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;Indiana;White;Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Virginia;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Alabama;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Mississippi;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Louisiana;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;North Carolina;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Multiple Races (including White);Florida;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Florida;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;North Carolina;White;Not a Volunteer;Not a Foreign National;South;Female;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;South Carolina;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Asian;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Florida;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Indiana;White;Volunteer;Not a Foreign National;Midwest;Male;ExecutionsPS
White;Nevada;White;Volunteer;Not a Foreign National;West;Male;ExecutionsPS
White;South Carolina;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Alabama;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Florida;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;North Carolina;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Latino;Texas;Latino;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Latino;Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Black;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Mississippi;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Georgia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Virginia;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Texas;White;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
Asian;Mississippi;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
White;Louisiana;Black;Not a Volunteer;Not a Foreign National;South;Male;ExecutionsPS
